sub_condition,score
A,12.644118141520787
A,10.495920007449389
A,13.013270120837229
A,11.635509073800153
A,7.591123982778198
A,10.634874588467738
A,12.355847762476415
A,15.591527418761567
A,9.448172834742477
A,12.184350236483743
A,9.889959927234067
A,7.478886336877162
A,9.047654458593673
A,11.820785125067667
A,10.196088341630688
A,15.22537011118505
A,12.604855586972246
A,9.788890202397866
A,8.441501192985596
A,11.55495085242815
A,5.5882868538057116
A,7.344708352107365
A,2.7079288201279903
A,11.142820936490375
A,13.982883194830222
A,4.414311713609422
A,13.013998951033187
A,8.39220663084296
A,10.385016524347884
A,7.003934510086767
A,13.67114196528227
A,15.547940517704355
A,8.027318917857313
A,11.82783606316894
A,9.646513132723657
A,8.980723667284735
A,5.354034033596916
A,6.05688778836092
A,13.465355327062012
A,10.810905455135764
A,9.84283709340186
A,9.543276682879325
A,10.665969064173131
A,10.271952490935087
A,11.909403723675883
A,6.948251014476803
A,10.567068061923216
A,8.29829316480241
A,4.409913858058877
A,6.520867754862184
B,13.578189085830681
B,9.456892708494227
B,9.592693650231302
B,11.257090772941543
B,9.235532274688895
B,10.47594051111652
B,13.47712978227774
B,10.736664603186137
B,8.277944247075586
B,12.263488108276555
B,8.30040263744861
B,13.531523893233297
B,12.648391695002278
B,11.915386470718893
B,9.630090376714982
B,9.310462048404842
B,10.915177644706304
B,9.530438878279863
B,10.959464743808809
B,12.010855709676694
B,11.640587311971926
B,12.342603042442743
B,7.875630569669875
B,16.337812189286126
B,6.30724275111168
B,12.345170097042496
B,10.737083702229276
B,9.828596284564062
B,11.353682271830461
B,11.666005355099344
B,15.440536289962118
B,11.099351918085224
B,10.489773361693027
B,13.910825011383368
B,13.665921894658776
B,10.122134371931791
B,14.991253060826518
B,10.204839335505566
B,10.07957265263527
B,16.820172990925183
B,15.212607019844853
B,8.820633729774267
B,4.53229131439874
B,13.291661894410982
B,9.825753381384757
B,9.459171092316524
B,10.704448702635538
B,12.215445082028666
B,7.116085572203251
B,7.681592461855249
